x,y,tau,temperature,is_post_switch
0.5,0.125,5,0.01847312644252454,0
0.5625,0.125,5,0.01870581246472578,0
0.625,0.125,5,0.0193613073935913,0
0.6875,0.125,5,0.02029301413980104,0
0.75,0.125,5,0.0211869483908236,0
0.8125,0.125,5,0.02143077305933136,0
0.875,0.125,5,0.01986427789250404,0
0.9375,0.125,5,0.01431162257603483,0
1,0.125,5,0.0007369629530249729,0
0,0.1875,5,0.001026484113141927,0
0.0625,0.1875,5,0.01551209380232252,0
0.125,0.1875,5,0.02143077305933136,0
0.1875,0.1875,5,0.02282699801305018,0
0.25,0.1875,5,0.02210787966976949,0
0.3125,0.1875,5,0.02065482030391665,0
0.375,0.1875,5,0.0192349585855584,0
0.4375,0.1875,5,0.01825522472881929,0
0.5,0.1875,5,0.01790967089900562,0
0.5625,0.1875,5,0.01825522472881934,0
0.625,0.1875,5,0.01923495858555838,0
0.6875,0.1875,5,0.02065482030391658,0
0.75,0.1875,5,0.02210787966976949,0
0.8125,0.1875,5,0.02282699801305021,0
0.875,0.1875,5,0.02143077305933139,0
0.9375,0.1875,5,0.01551209380232253,0
1,0.1875,5,0.001026484113141927,0
0,0.25,5,0.001263365062328525,0
0.0625,0.25,5,0.01557340737584577,0
0.125,0.25,5,0.02118694839082357,0
0.1875,0.25,5,0.02210787966976933,0
0.25,0.25,5,0.02082426436921542,0
0.3125,0.25,5,0.01882257707687414,0
0.375,0.25,5,0.01695574643721901,0
0.4375,0.25,5,0.01568745086708824,0
0.5,0.25,5,0.01524251200644702,0
0.5625,0.25,5,0.01568745086708823,0
0.625,0.25,5,0.01695574643721912,0
0.6875,0.25,5,0.01882257707687412,0
0.75,0.25,5,0.02082426436921556,0
0.8125,0.25,5,0.02210787966976942,0
0.875,0.25,5,0.0211869483908236,0
0.9375,0.25,5,0.01557340737584578,0
1,0.25,5,0.001263365062328525,0
0,0.3125,5,0.001447605800584768,0
0.0625,0.3125,5,0.01521732414122641,0
0.125,0.3125,5,0.0202930141398012,0
0.1875,0.3125,5,0.02065482030391649,0
